,ts,device_id,type,subtype,to_ds,from_ds,flags,duration_id,sequence_ctrl,addr1,addr2,addr3,addr4,rssi,channel,payload_size,payload
741,1654884655,dev-6sdvl6005smx,0,4,0,0,0,0,41456,"""FF:FF:FF:FF:FF:FF""","""73ea1cfa1044d0aec13378fd9c27cb1985329eabe8044082ba5bf195d03fd50a""","""FF:FF:FF:FF:FF:FF""","""ffe3ac6bffb646885937f662b9abc19a31a38a7501cc27bba3b822fc6b574fc9""",-83,6,120,
742,1654884655,dev-6sdvl6005smx,0,5,0,0,2,48,23312,"""73ea1cfa1044d0aec13378fd9c27cb1985329eabe8044082ba5bf195d03fd50a""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""83a0ff7dbfe5db32211647dba4738262e93f751c14332c8f1461142b6e38cbb4""","""29ec4cb797d3282b3a7b05d670ba202964ff9bad15449cc17223dd05079758bd""",-89,6,204,
743,1654884655,dev-6sdvl6005smx,0,4,0,0,0,0,53616,"""FF:FF:FF:FF:FF:FF""","""adfc27e58f1d99044e25216f6a076794ccdad55aa720aad9789d6b7b2cf5ec2c""","""FF:FF:FF:FF:FF:FF""","""c8f0a1c523042c56b8e566b39f656e7eafc54d9e52da6f0c9c85ac982cd54ab7""",-48,6,125,
744,1654884655,dev-6sdvl6005smx,0,5,0,0,2,48,23328,"""adfc27e58f1d99044e25216f6a076794ccdad55aa720aad9789d6b7b2cf5ec2c""","""d37e99689615dfe37bb6126ed52b4c7ceb364a9972d6b356415a37f374699117""","""d37e99689615dfe37bb6126ed52b4c7ceb364a9972d6b356415a37f374699117""","""a803968ed9521dfef92b2022b578129a8c160bd3c7cdc43e766ec47c9c69e8bd""",-87,6,253,
745,1654884655,dev-6sdvl6005smx,0,5,0,0,2,48,23328,"""adfc27e58f1d99044e25216f6a076794ccdad55aa720aad9789d6b7b2cf5ec2c""","""d37e99689615dfe37bb6126ed52b4c7ceb364a9972d6b356415a37f374699117""","""d37e99689615dfe37bb6126ed52b4c7ceb364a9972d6b356415a37f374699117""","""2bc0d3f65e47a838ee2e280259b3c9fd236cd8323b6ff779b2374ddfdc9cd777""",-89,6,253,
746,1654884655,dev-6sdvl6005smx,0,5,0,0,2,48,23328,"""adfc27e58f1d99044e25216f6a076794ccdad55aa720aad9789d6b7b2cf5ec2c""","""d37e99689615dfe37bb6126ed52b4c7ceb364a9972d6b356415a37f374699117""","""d37e99689615dfe37bb6126ed52b4c7ceb364a9972d6b356415a37f374699117""","""7fb4b5a4553aff70347e791921f6e827ff3189d0f4567290c27426b3d84c6238""",-89,6,253,
747,1654884670,dev-6sdvl6005smx,0,4,0,0,0,0,41168,"""FF:FF:FF:FF:FF:FF""","""2d5903d370f3a2b545b1dbba6f638f4f08f0a3bce1bf211ad6af2ce585f51251""","""FF:FF:FF:FF:FF:FF""","""d948ae896275ac4705ac9d927d454ba6296b5afc5ddbaa58fa720b731148db03""",-80,6,113,
748,1654884670,dev-6sdvl6005smx,0,4,0,0,0,0,41184,"""FF:FF:FF:FF:FF:FF""","""2d5903d370f3a2b545b1dbba6f638f4f08f0a3bce1bf211ad6af2ce585f51251""","""FF:FF:FF:FF:FF:FF""","""d948ae896275ac4705ac9d927d454ba6296b5afc5ddbaa58fa720b731148db03""",-78,6,113,
749,1654884670,dev-6sdvl6005smx,0,4,0,0,0,0,41200,"""FF:FF:FF:FF:FF:FF""","""2d5903d370f3a2b545b1dbba6f638f4f08f0a3bce1bf211ad6af2ce585f51251""","""FF:FF:FF:FF:FF:FF""","""d948ae896275ac4705ac9d927d454ba6296b5afc5ddbaa58fa720b731148db03""",-79,6,113,
750,1654884670,dev-6sdvl6005smx,0,4,0,0,0,0,41216,"""FF:FF:FF:FF:FF:FF""","""2d5903d370f3a2b545b1dbba6f638f4f08f0a3bce1bf211ad6af2ce585f51251""","""FF:FF:FF:FF:FF:FF""","""d948ae896275ac4705ac9d927d454ba6296b5afc5ddbaa58fa720b731148db03""",-79,6,113,
751,1654884670,dev-6sdvl6005smx,0,4,0,0,0,0,57904,"""FF:FF:FF:FF:FF:FF""","""1f0945c98a0987c2279bcc6f16e3c311600aa0f6babcc37c45c4e51660ec70c2""","""FF:FF:FF:FF:FF:FF""","""ffe3ac6bffb646885937f662b9abc19a31a38a7501cc27bba3b822fc6b574fc9""",-86,6,120,
752,1654884670,dev-6sdvl6005smx,0,4,0,0,0,0,57920,"""FF:FF:FF:FF:FF:FF""","""1f0945c98a0987c2279bcc6f16e3c311600aa0f6babcc37c45c4e51660ec70c2""","""FF:FF:FF:FF:FF:FF""","""ffe3ac6bffb646885937f662b9abc19a31a38a7501cc27bba3b822fc6b574fc9""",-85,6,120,
753,1654884670,dev-6sdvl6005smx,0,4,0,0,0,0,14672,"""FF:FF:FF:FF:FF:FF""","""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""FF:FF:FF:FF:FF:FF""","""1153ecbe908e4c2a6050e02354c674f56c052f364664704beff13299c6385d35""",-91,6,294,
754,1654884670,dev-6sdvl6005smx,0,4,0,0,0,0,14720,"""FF:FF:FF:FF:FF:FF""","""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""FF:FF:FF:FF:FF:FF""","""ddb4403a7cf770affcc91cff84e3c2343234c3de46f12a629f559632c9238a54""",-86,6,283,
755,1654884670,dev-6sdvl6005smx,0,5,0,0,0,314,49920,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""0ecd449b609b6c3d7452930c8645b8e5b4738f54689f6227732afe0f16ffa1cc""",-39,6,227,
756,1654884670,dev-6sdvl6005smx,0,5,0,0,2,314,49920,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""2fe26986fa769f81d19b0563a68905526956b667869d19b8d90311d486afb86d""",-37,6,227,
757,1654884680,dev-6sdvl6005smx,0,4,0,0,0,0,15520,"""FF:FF:FF:FF:FF:FF""","""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""FF:FF:FF:FF:FF:FF""","""ddb4403a7cf770affcc91cff84e3c2343234c3de46f12a629f559632c9238a54""",-92,6,283,
758,1654884680,dev-6sdvl6005smx,0,5,0,0,0,60,31424,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""ea225f8857196bf2eef67c8e17e6213bd3ba5b1283ed03a499a01ddde1ecfd08""",-88,6,538,
759,1654884680,dev-6sdvl6005smx,0,5,0,0,2,60,31424,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""ab3c0ca9573a57c6945525cc8a40a8b984c21e0f658e22bda21cecfe70f479cc""",-88,6,538,
760,1654884680,dev-6sdvl6005smx,0,5,0,0,2,60,31424,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""3f659403fd4b49ea1b721c733b04125ee11eff39560198891ce4ee0b12cbc553""",-88,6,538,
761,1654884680,dev-6sdvl6005smx,0,5,0,0,2,60,31424,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""63f4bc282f0e8d27dfd219a3d0fb68137decd52df777c042570c7d44f5cceec1""",-91,6,538,
762,1654884680,dev-6sdvl6005smx,0,5,0,0,0,314,49936,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""a593a584de07b6549ea39ce282d1b121aa4758b3f53f11b09b7da4fc98110051""",-38,6,227,
763,1654884680,dev-6sdvl6005smx,0,4,0,0,0,0,15536,"""FF:FF:FF:FF:FF:FF""","""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""FF:FF:FF:FF:FF:FF""","""1153ecbe908e4c2a6050e02354c674f56c052f364664704beff13299c6385d35""",-86,6,294,
764,1654884680,dev-6sdvl6005smx,0,4,0,0,0,0,15552,"""FF:FF:FF:FF:FF:FF""","""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""FF:FF:FF:FF:FF:FF""","""ddb4403a7cf770affcc91cff84e3c2343234c3de46f12a629f559632c9238a54""",-85,6,283,
765,1654884680,dev-6sdvl6005smx,0,5,0,0,0,60,31440,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""f40202dbe3ba059a007c7c60017792eac90dd14106a16b219c136dba3f76857b""","""13d1020ff961f803a70ba2fc834dc5442158e1e121d0a631dbba87c6adac0a0e""",-88,6,538,
766,1654884680,dev-6sdvl6005smx,0,5,0,0,0,314,49952,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""e1a7dd4f01ca72ad8172ef2f9b8a4407bd6ba36734a413cb16ad1af418697f09""",-38,6,227,
767,1654884680,dev-6sdvl6005smx,0,5,0,0,2,314,49952,"""baf93e4993516d926f22e4c0032095fee91f4050e204f0d8d6c2edbc9feac972""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""165e85e7b350ae3a98d34c3731c54843888a59cb34a98ce08830e4105c6b1e1c""","""36ad3acf708275b34acd99f4e292134d01a21cdcc6c9b23de9eb28bf52889dc8""",-38,6,227,
768,1654884680,dev-6sdvl6005smx,0,4,0,0,0,0,50832,"""FF:FF:FF:FF:FF:FF""","""8889d7f9ac69809dc3df4231d252b9ffb5635579b72a3cf5b1974c672118b544""","""FF:FF:FF:FF:FF:FF""","""ffe3ac6bffb646885937f662b9abc19a31a38a7501cc27bba3b822fc6b574fc9""",-85,6,120,
769,1654884680,dev-6sdvl6005smx,0,4,0,0,0,0,50848,"""FF:FF:FF:FF:FF:FF""","""8889d7f9ac69809dc3df4231d252b9ffb5635579b72a3cf5b1974c672118b544""","""FF:FF:FF:FF:FF:FF""","""ffe3ac6bffb646885937f662b9abc19a31a38a7501cc27bba3b822fc6b574fc9""",-86,6,120,
